ID,Paved Drive,BsmtExposure,BsmtUnfinishedArea,ProximityToMainRoad2,KitchenQuality,SaleCondition,LivingArea,Lot Config,FenceQuality,SaleType,HalfBaths,Neighborhood,HeatingQuality,LotFrontage,RoofMaterial,Exterior1,Foundation,HouseType,YearRemodelled,MasVnrArea,Misc Feature,GarageFinish,ExteriorQual,UtilitiesAvailable,HouseStyle,MasVnrType,FireplaceQuality,EnclosedPorchArea,BsmtCondition,PoolSize,BsmtHeight,BsmtFullBaths,ScreenPorchArea,Misc,BsmtFinishType2,TotalRooms,YearBuilt,YearSold,BsmtFinish2Area,PoolQuality,OpenPorchArea,Fireplaces,RoofType,Functional,ExteriorCond,GarageCondition,TotalBsmtArea,Electrical,SeasonPorchArea,LowQualityFinishArea,ProximityToMainRoad,BsmtHalfBaths,GarageQuality,WoodDeckArea,ZoningClass,Bedrooms,TypeOfAlleyAccess,FullBaths,OverallRating,BsmtFinishType1,TypeOfRoadAccess,MonthSold,GarageCars,Shape,Flatness,HeatingType,Central Air,SlopeOfProperty,Exterior2,GarageArea,BsmtFinish1Area,Quality,GarageType,LotSize,Kitchens,GarageYearBuilt,BuildingClass,2ndFloorArea,1stFloorArea,SalePrice
436,Y,No,727.0,RRNn,Fa,Normal,520,Inside,,WD ,0,BrkSide,Fa,60.0,CompShg,MetalSd,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,,87,TA,0,TA,0.0,0,0,Unf,4,1927,2008,0.0,,0,0,Gable,Typ,TA,TA,727.0,SBrkr,0,0,Feedr,0.0,Fa,49,RM,1,,1,6,Unf,Pave,5,1.0,IR1,Lvl,GasA,N,Gtl,MetalSd,240.0,0.0,4,Detchd,6324,1,1920.0,30,252,1564,92706
437,Y,No,1078.0,Norm,Gd,Normal,2422,Corner,,WD ,0,ClearCr,Ex,102.0,CompShg,MetalSd,CBlock,1Fam,1994,300.0,,Fin,TA,AllPub,1Story,Stone,Gd,0,Fa,0,Gd,0.0,144,0,Unf,6,1954,2007,0.0,,63,2,Hip,Min2,Gd,TA,1495.0,SBrkr,0,0,Norm,0.0,TA,0,RL,4,,3,7,LwQ,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,MetalSd,527.0,417.0,6,Attchd,12671,1,1954.0,20,252,3466,297856
438,Y,No,1255.0,Norm,TA,Normal,1768,Inside,,WD ,0,OldTown,Gd,57.0,CompShg,MetalSd,PConc,1Fam,1950,0.0,,Unf,TA,AllPub,2Story,None,,150,TA,0,TA,0.0,0,0,Unf,8,1915,2009,0.0,,0,0,Gable,Typ,TA,Fa,1255.0,FuseA,0,0,Norm,0.0,Fa,0,RM,3,Grvl,2,6,Unf,Pave,6,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,576.0,0.0,6,Detchd,8094,1,1930.0,70,972,2092,187856
439,N,No,423.0,Norm,TA,Normal,936,Inside,,WD ,0,IDOTRR,Fa,60.0,CompShg,MetalSd,PConc,1Fam,1950,0.0,,,TA,AllPub,1.5Fin,None,,0,Fa,0,Fa,0.0,0,0,Unf,6,1916,2006,0.0,,0,0,Gable,Typ,TA,,423.0,SBrkr,0,0,Norm,0.0,,0,C (all),2,,1,5,Unf,Grvl,4,0.0,Reg,Bnk,GasA,N,Gtl,MetalSd,0.0,0.0,3,,8520,1,,50,612,1620,103156
440,Y,Mn,143.0,Norm,TA,Abnorml,1721,Corner,,WD ,0,ClearCr,Gd,,Tar&Grv,Plywood,CBlock,1Fam,1960,275.0,,Unf,TA,AllPub,1Story,Stone,TA,0,TA,0,TA,1.0,0,0,Unf,7,1960,2008,0.0,,84,2,Flat,Mod,TA,TA,1195.0,SBrkr,0,0,Norm,0.0,TA,50,RL,3,,2,3,Rec,Pave,12,2.0,Reg,Lvl,GasA,Y,Gtl,Plywood,626.0,1052.0,5,Basment,10532,1,1960.0,190,252,2765,176856
441,Y,Mn,1289.0,Norm,Gd,Normal,1953,Inside,,WD ,1,Somerst,Ex,85.0,CompShg,VinylSd,PConc,1Fam,2006,0.0,,RFn,Gd,AllPub,2Story,None,Gd,0,TA,0,Gd,0.0,0,0,Unf,9,2005,2009,0.0,,50,1,Gable,Typ,TA,TA,1289.0,SBrkr,0,0,Norm,0.0,TA,160,FV,3,,2,5,Unf,Pave,5,3.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,1043.0,0.0,8,Attchd,10574,1,2005.0,60,1123,2126,294556
442,Y,No,1039.0,Norm,Gd,Normal,832,Corner,,WD ,0,NAmes,Gd,59.0,CompShg,MetalSd,CBlock,1Fam,1954,0.0,,Unf,TA,AllPub,1.5Unf,None,,0,TA,0,TA,0.0,0,0,Unf,4,1954,2008,0.0,,0,0,Gable,Typ,TA,TA,1039.0,SBrkr,0,0,Artery,0.0,TA,0,RL,2,,1,6,Unf,Pave,6,2.0,Reg,HLS,GasA,Y,Mod,MetalSd,528.0,0.0,6,Detchd,7227,1,1962.0,45,252,1876,133406
443,Y,No,609.0,Norm,TA,Normal,1456,Inside,,WD ,1,NPkVill,TA,24.0,CompShg,Plywood,CBlock,Twnhs,1977,0.0,,Unf,TA,AllPub,2Story,None,TA,0,TA,0,Gd,0.0,0,0,Unf,6,1977,2009,0.0,,28,1,Gable,Typ,TA,TA,1062.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,ALQ,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,Brk Cmn,440.0,453.0,6,Attchd,2349,1,1977.0,160,853,1899,169046
444,Y,Av,617.0,Norm,Gd,Partial,1419,Inside,,New,0,StoneBr,Ex,60.0,CompShg,MetalSd,PConc,1Fam,2007,0.0,,RFn,Gd,AllPub,1Story,BrkFace,Gd,0,TA,0,Gd,1.0,0,0,Unf,7,2007,2007,0.0,,0,1,Gable,Typ,TA,TA,1626.0,SBrkr,0,0,Norm,0.0,TA,140,RL,2,,2,6,GLQ,Pave,10,2.0,Reg,HLS,GasA,Y,Gtl,MetalSd,567.0,1009.0,8,Attchd,8089,1,2007.0,20,252,2463,448556
445,Y,No,935.0,Norm,Gd,Partial,1456,Corner,,New,1,CollgCr,Ex,85.0,CompShg,VinylSd,PConc,1Fam,2006,0.0,,Fin,Gd,AllPub,2Story,None,TA,0,TA,0,Gd,0.0,0,0,Unf,8,2006,2007,0.0,,0,1,Gable,Typ,TA,TA,935.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,Unf,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,440.0,0.0,7,Attchd,11103,1,2006.0,60,980,1772,188774
446,Y,Gd,871.0,Norm,TA,Normal,1431,Corner,,WD ,0,NAmes,Gd,101.0,Tar&Grv,Plywood,CBlock,1Fam,1962,305.0,,RFn,TA,AllPub,SLvl,BrkFace,Gd,0,TA,0,Gd,0.0,0,0,Unf,6,1962,2008,0.0,,110,1,Gable,Typ,TA,TA,1306.0,SBrkr,0,0,Norm,1.0,TA,64,RL,3,,1,5,GLQ,Pave,12,1.0,IR1,Lvl,GasA,Y,Gtl,Plywood,296.0,435.0,6,Basment,9150,1,1962.0,80,252,2475,198856
447,Y,No,521.0,Norm,TA,Normal,1159,Inside,,WD ,1,Sawyer,TA,,CompShg,Plywood,CBlock,1Fam,1968,188.0,,Unf,TA,AllPub,1Story,BrkFace,Fa,0,TA,0,TA,0.0,0,0,Unf,7,1968,2006,0.0,,0,1,Hip,Typ,TA,TA,1258.0,SBrkr,0,0,Norm,0.0,TA,466,RL,3,,1,5,BLQ,Pave,7,1.0,IR1,Lvl,GasA,Y,Gtl,Plywood,336.0,737.0,5,Attchd,11553,1,1968.0,20,252,2203,191156
448,Y,Gd,783.0,Norm,Gd,Normal,1576,Corner,,WD ,0,NAmes,Ex,85.0,CompShg,HdBoard,CBlock,1Fam,1961,90.0,,Fin,TA,AllPub,SLvl,BrkFace,Po,0,TA,0,TA,1.0,0,0,Unf,7,1961,2009,0.0,,0,1,Hip,Typ,TA,TA,1415.0,SBrkr,0,0,Norm,0.0,TA,85,RL,4,,1,6,ALQ,Pave,9,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,368.0,632.0,6,BuiltIn,11475,1,1961.0,80,252,2620,209306
449,Y,No,617.0,Norm,Gd,Normal,1358,Inside,,WD ,0,NridgHt,Ex,80.0,CompShg,VinylSd,PConc,TwnhsE,2008,176.0,,RFn,Gd,AllPub,1Story,Stone,Gd,0,TA,0,Gd,1.0,0,0,Unf,6,2007,2009,0.0,,26,1,Gable,Typ,TA,TA,1557.0,SBrkr,0,0,Norm,0.0,TA,192,RL,2,,2,5,GLQ,Pave,5,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,484.0,940.0,7,Attchd,10307,1,2008.0,120,252,2402,251106
450,Y,No,234.0,Norm,TA,Normal,864,Inside,,WD ,0,NAmes,TA,63.0,CompShg,MetalSd,CBlock,1Fam,1971,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,Gd,1.0,0,0,ALQ,5,1971,2008,654.0,,0,0,Hip,Typ,TA,TA,1071.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,1,5,Rec,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,576.0,183.0,5,Detchd,7560,1,1977.0,20,252,1908,152656
451,Y,No,206.0,Norm,Gd,Normal,936,Inside,,WD ,0,NAmes,TA,73.0,CompShg,VinylSd,CBlock,1Fam,1999,0.0,,RFn,TA,AllPub,1Story,None,,0,TA,0,TA,1.0,0,0,Unf,4,1957,2007,0.0,,0,0,Gable,Typ,TA,TA,1143.0,SBrkr,219,0,Norm,0.0,TA,0,RL,2,,1,7,ALQ,Pave,9,1.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,315.0,937.0,6,Attchd,8760,1,1957.0,20,252,1980,172456
452,Y,No,635.0,Norm,TA,Normal,1374,Inside,MnPrv,WD ,0,NAmes,TA,,CompShg,Wd Sdng,CBlock,1Fam,1964,212.0,,RFn,TA,AllPub,1Story,BrkFace,TA,84,TA,0,TA,0.0,0,0,Rec,7,1964,2007,584.0,,28,1,Gable,Typ,TA,TA,1337.0,SBrkr,0,0,Norm,1.0,TA,0,RL,3,,1,5,ALQ,Pave,8,1.0,IR1,Lvl,GasA,Y,Gtl,Plywood,286.0,118.0,6,Attchd,11382,1,1964.0,20,252,2418,179056
453,Y,No,528.0,Norm,TA,Normal,1295,Corner,,WD ,1,NWAmes,Fa,130.0,CompShg,HdBoard,PConc,1Fam,1968,196.0,,Fin,TA,AllPub,1Story,BrkFace,,0,TA,0,Gd,1.0,200,0,Unf,6,1968,2007,0.0,,194,0,Gable,Typ,TA,TA,1502.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,1,5,ALQ,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,528.0,974.0,6,Attchd,11700,1,1968.0,20,252,2339,197756
454,Y,Gd,1617.0,Norm,Gd,Partial,2945,CulDSac,,New,1,StoneBr,Ex,66.0,CompShg,VinylSd,PConc,1Fam,2006,1031.0,,Fin,Ex,AllPub,2Story,BrkFace,Gd,37,TA,0,Ex,0.0,0,0,Unf,10,2006,2006,0.0,,0,1,Hip,Typ,TA,TA,1617.0,SBrkr,0,0,Norm,0.0,TA,192,RL,3,,3,5,Unf,Pave,10,3.0,IR2,HLS,GasA,Y,Gtl,VinylSd,641.0,0.0,10,BuiltIn,13682,1,2006.0,60,1771,2470,500014
455,N,Mn,1047.0,Norm,Fa,Abnorml,2256,Inside,,WD ,0,OldTown,Fa,100.0,CompShg,MetalSd,BrkTil,2fmCon,1950,0.0,,,TA,AllPub,2Story,None,,18,TA,0,TA,0.0,0,0,Unf,12,1910,2010,0.0,,18,0,Gable,Typ,Fa,,1047.0,FuseF,0,0,Norm,0.0,,0,RM,4,,2,3,Unf,Pave,6,0.0,Reg,Lvl,Grav,N,Gtl,MetalSd,0.0,0.0,5,,9045,2,,190,1380,2172,101506
456,Y,No,430.0,Norm,Gd,Normal,1502,Inside,,WD ,1,GrnHill,Ex,,CompShg,Wd Sdng,PConc,TwnhsE,1998,239.0,,Fin,Gd,AllPub,1Story,BrkFace,TA,0,TA,0,Gd,1.0,0,0,ALQ,5,1998,2007,113.0,,0,1,Gable,Typ,TA,TA,1709.0,SBrkr,0,0,Norm,0.0,TA,0,RM,1,,1,5,GLQ,Pave,9,1.0,IR1,Lvl,GasA,Y,Gtl,Wd Sdng,286.0,1166.0,7,Attchd,9763,1,1998.0,120,252,2546,380356
457,Y,No,442.0,Norm,TA,Normal,1130,Inside,,WD ,0,OldTown,Ex,60.0,CompShg,Stucco,BrkTil,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,Gd,0,TA,0,TA,1.0,0,0,Unf,5,1920,2006,0.0,,0,1,Hip,Typ,TA,TA,1327.0,SBrkr,0,0,Norm,0.0,TA,229,RL,2,Grvl,1,6,Rec,Pave,6,2.0,Reg,Lvl,GasA,Y,Gtl,Stucco,720.0,885.0,5,Detchd,10800,1,1970.0,30,252,2174,149356
458,Y,Av,891.0,Norm,Gd,Normal,1560,Inside,,WD ,1,Gilbert,Ex,122.0,CompShg,VinylSd,PConc,1Fam,2005,0.0,,Fin,Gd,AllPub,2Story,None,Gd,0,TA,0,Gd,0.0,0,0,Unf,6,2005,2009,0.0,,38,1,Gable,Typ,TA,TA,891.0,SBrkr,0,0,Norm,0.0,TA,100,RL,3,,2,5,Unf,Pave,3,2.0,IR2,Lvl,GasA,Y,Gtl,VinylSd,400.0,0.0,6,BuiltIn,11911,1,2005.0,60,1128,1728,208756
459,Y,No,397.0,Norm,TA,Normal,1801,Inside,GdWo,WD ,0,Crawfor,TA,100.0,CompShg,BrkFace,CBlock,1Fam,1997,0.0,,Fin,TA,AllPub,1Story,None,TA,0,TA,0,TA,1.0,161,0,Unf,6,1959,2010,0.0,,54,2,Gable,Typ,TA,TA,1708.0,SBrkr,0,0,Norm,0.0,TA,0,RL,1,,2,8,ALQ,Pave,3,2.0,IR1,Lvl,GasA,Y,Gtl,Wd Sdng,484.0,1311.0,7,Attchd,15602,1,1959.0,20,252,2845,335256
460,Y,No,893.0,Norm,TA,Family,1328,Inside,,WD ,0,OldTown,Fa,57.0,CompShg,MetalSd,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,2Story,None,,60,TA,0,TA,0.0,0,0,Unf,8,1925,2006,0.0,,172,0,Gable,Typ,TA,TA,893.0,SBrkr,0,0,Norm,0.0,TA,0,RM,3,Grvl,1,4,Unf,Pave,9,1.0,Reg,Lvl,GasA,N,Gtl,MetalSd,210.0,0.0,4,Detchd,9906,1,1940.0,70,770,1854,135056
461,Y,No,1006.0,Norm,TA,Normal,1571,Inside,,WD ,1,Gilbert,Gd,59.0,CompShg,VinylSd,PConc,1Fam,1994,0.0,,RFn,Gd,AllPub,2Story,None,TA,0,TA,0,Gd,0.0,0,0,Unf,7,1993,2009,0.0,,40,1,Gable,Typ,TA,TA,1006.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,7,Unf,Pave,5,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,380.0,0.0,6,Attchd,7837,1,1993.0,60,1024,1843,213156
462,Y,No,1668.0,Norm,Gd,Normal,1486,Inside,,WD ,0,SawyerW,Ex,65.0,CompShg,VinylSd,PConc,1Fam,2006,170.0,,RFn,Gd,AllPub,1Story,BrkFace,,0,TA,0,Gd,0.0,0,0,Unf,7,2006,2007,0.0,,32,0,Gable,Typ,TA,TA,1668.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,5,Unf,Pave,6,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,566.0,0.0,7,Attchd,7441,1,2006.0,20,252,2530,216456
463,Y,No,419.0,Norm,TA,Normal,1229,Inside,GdPrv,WD ,1,Blueste,TA,24.0,CompShg,MetalSd,CBlock,TwnhsE,1980,0.0,,Fin,TA,AllPub,2Story,None,TA,0,TA,0,Gd,0.0,0,0,Unf,5,1980,2009,0.0,,0,1,Gable,Typ,TA,TA,768.0,SBrkr,0,0,Norm,0.0,TA,150,RM,2,,1,6,ALQ,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,462.0,349.0,6,Attchd,1300,1,1980.0,160,920,1605,153756
464,Y,No,514.0,Norm,Gd,Partial,1358,Inside,MnPrv,WD ,1,OldTown,Gd,60.0,CompShg,VinylSd,BrkTil,1Fam,2005,0.0,,Unf,TA,AllPub,2Story,None,Gd,0,Fa,0,TA,0.0,0,0,Unf,6,1930,2007,0.0,,32,1,Gambrel,Typ,Gd,TA,894.0,SBrkr,0,0,Norm,0.0,TA,0,RM,3,Grvl,1,7,Rec,Pave,7,1.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,336.0,380.0,5,Detchd,3600,1,2004.0,70,923,1731,154306
465,Y,No,293.0,Norm,TA,Normal,1209,Corner,,ConLD,0,NAmes,Gd,90.0,CompShg,HdBoard,PConc,1Fam,1966,0.0,,RFn,TA,AllPub,1Story,None,,120,TA,0,Gd,1.0,0,0,Unf,6,1966,2010,0.0,,0,0,Hip,Typ,TA,TA,1416.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,1,5,BLQ,Pave,4,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,504.0,1123.0,5,Attchd,9900,1,1966.0,20,252,2253,192256
466,Y,No,1077.0,Norm,TA,Normal,1516,Inside,,WD ,1,NAmes,TA,100.0,CompShg,HdBoard,CBlock,1Fam,1964,180.0,,RFn,TA,AllPub,1Story,BrkFace,,0,TA,0,TA,0.0,152,0,BLQ,6,1964,2009,386.0,,0,0,Gable,Typ,TA,TA,1723.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,1,6,Rec,Pave,2,2.0,Reg,Lvl,GasA,Y,Gtl,Plywood,472.0,260.0,6,Attchd,10004,1,1964.0,20,252,2560,201056
467,N,,0.0,Norm,TA,Normal,869,Inside,GdPrv,WD ,0,OldTown,TA,60.0,CompShg,MetalSd,Slab,1Fam,1950,0.0,,Unf,TA,AllPub,1Story,None,,66,,0,,0.0,0,0,,3,1948,2008,0.0,,0,0,Gable,Typ,TA,TA,0.0,SBrkr,0,0,Norm,0.0,Fa,0,RL,1,,1,6,,Pave,8,1.0,Reg,Lvl,GasA,N,Gtl,MetalSd,390.0,0.0,4,Detchd,10122,1,1948.0,20,0,1913,116246
468,Y,No,598.0,Norm,Gd,Normal,1521,Inside,,WD ,1,NAmes,Gd,60.0,CompShg,BrkComm,CBlock,1Fam,1950,0.0,,Unf,TA,AllPub,1.5Fin,None,,168,TA,0,TA,0.0,0,0,Unf,6,1950,2006,0.0,,0,0,Gable,Min2,TA,TA,1117.0,SBrkr,0,0,Norm,0.0,Fa,199,RL,3,,1,6,Rec,Pave,9,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,597.0,519.0,4,Detchd,12144,1,1950.0,50,863,1954,179606
469,Y,No,610.0,Norm,TA,Abnorml,2061,Inside,,COD,1,NWAmes,Gd,80.0,CompShg,Plywood,CBlock,1Fam,1974,252.0,,RFn,TA,AllPub,2Story,BrkFace,TA,0,TA,0,TA,0.0,196,0,Unf,8,1974,2009,0.0,,77,1,Gable,Typ,TA,TA,1372.0,SBrkr,0,0,Norm,1.0,TA,0,RL,4,,2,5,ALQ,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,Plywood,498.0,762.0,7,Attchd,9600,1,1974.0,60,1148,2209,202706
470,Y,Av,143.0,Norm,TA,Normal,1212,Corner,GdWo,WD ,0,Sawyer,TA,88.0,CompShg,HdBoard,CBlock,1Fam,1995,46.0,,Unf,TA,AllPub,SLvl,BrkFace,TA,0,Gd,0,Gd,1.0,0,0,Unf,6,1977,2006,0.0,,12,1,Gable,Typ,TA,TA,713.0,SBrkr,0,0,Norm,0.0,TA,292,RL,3,,1,7,ALQ,Pave,7,2.0,IR1,Lvl,GasA,Y,Gtl,Plywood,492.0,570.0,6,Attchd,8471,1,1978.0,80,252,2256,183456
471,Y,No,780.0,Norm,TA,Normal,1328,Inside,,WD ,1,NWAmes,TA,,CompShg,HdBoard,CBlock,1Fam,1963,451.0,,Unf,TA,AllPub,1Story,BrkFace,Gd,0,TA,0,TA,1.0,0,0,Rec,6,1963,2010,122.0,,26,2,Hip,Typ,TA,TA,1535.0,SBrkr,0,0,Feedr,0.0,TA,0,RL,3,,1,5,ALQ,Pave,6,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,528.0,633.0,6,Attchd,9790,1,1963.0,20,252,2372,174656
472,P,No,865.0,Norm,TA,Normal,1934,Inside,,WD ,1,Gilbert,Ex,85.0,CompShg,HdBoard,PConc,1Fam,1977,157.0,,Unf,TA,AllPub,2Story,BrkFace,TA,0,TA,0,Gd,1.0,200,0,Unf,6,1977,2009,0.0,,176,1,Gable,Typ,TA,TA,1329.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,2,6,ALQ,Pave,7,2.0,Reg,Lvl,GasA,Y,Gtl,Wd Sdng,567.0,464.0,5,Attchd,11900,1,1977.0,60,1240,1990,220856
473,N,No,1282.0,Norm,TA,Normal,1798,Inside,MnPrv,WD ,1,OldTown,Ex,57.0,CompShg,MetalSd,PConc,1Fam,1950,0.0,,Unf,TA,AllPub,2Story,None,,160,TA,0,TA,0.0,0,0,Unf,7,1900,2007,0.0,,0,0,Gable,Typ,TA,TA,1282.0,SBrkr,0,0,Artery,0.0,TA,0,RM,4,,2,8,Unf,Pave,5,2.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,342.0,0.0,4,Detchd,9639,1,1935.0,70,894,2200,168056
474,Y,Mn,680.0,Norm,TA,Alloca,3194,Inside,,WD ,1,Crawfor,TA,78.0,CompShg,BrkFace,PConc,1Fam,1998,0.0,,Unf,TA,AllPub,2Story,None,Gd,0,TA,0,Gd,0.0,0,0,Unf,10,1934,2007,0.0,,0,2,Gable,Typ,TA,TA,1172.0,SBrkr,0,0,Norm,0.0,TA,0,RL,4,,2,6,BLQ,Pave,9,2.0,Reg,HLS,GasA,Y,Mod,Wd Sdng,380.0,492.0,8,Basment,12168,1,1934.0,70,1506,2984,412366
475,Y,Gd,143.0,Norm,TA,Normal,988,CulDSac,,WD ,0,ClearCr,Ex,,Metal,Plywood,CBlock,1Fam,1969,0.0,,Unf,TA,AllPub,SLvl,None,TA,0,TA,0,TA,1.0,0,0,Unf,4,1969,2006,0.0,,130,2,Flat,Typ,TA,TA,1145.0,SBrkr,130,0,Norm,0.0,TA,0,RL,1,,1,5,ALQ,Pave,10,2.0,IR1,Low,GasA,Y,Sev,Plywood,540.0,1002.0,6,Attchd,21453,1,1969.0,80,252,2032,215356
476,Y,Gd,143.0,Norm,TA,Partial,1072,Inside,,New,0,Edwards,Gd,35.0,CompShg,VinylSd,PConc,TwnhsE,2006,82.0,,Fin,TA,AllPub,SFoyer,BrkFace,,0,TA,0,Gd,1.0,0,0,Unf,5,2005,2006,0.0,,44,0,Gable,Typ,TA,TA,754.0,SBrkr,0,0,Norm,0.0,TA,0,RM,2,,1,5,GLQ,Pave,10,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,525.0,611.0,6,Basment,3675,1,2005.0,180,252,2116,174106
477,Y,No,1005.0,Norm,Gd,Normal,1640,Inside,,WD ,1,SawyerW,Ex,65.0,CompShg,VinylSd,PConc,1Fam,2004,0.0,,RFn,Gd,AllPub,2Story,None,,0,TA,0,Gd,0.0,0,0,Unf,6,2004,2008,0.0,,45,0,Gable,Typ,TA,TA,1005.0,SBrkr,0,0,Norm,0.0,TA,138,RL,3,,2,5,Unf,Pave,12,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,520.0,0.0,6,Attchd,8366,1,2004.0,60,1094,1842,207656
478,P,No,879.0,Norm,TA,Normal,2009,Corner,,WD ,0,Edwards,Ex,114.0,CompShg,WdShing,PConc,1Fam,1950,0.0,,Unf,TA,AllPub,2Story,None,Gd,0,TA,0,TA,0.0,180,0,Unf,8,1928,2006,0.0,,42,2,Gable,Typ,TA,TA,879.0,SBrkr,0,0,Norm,0.0,TA,0,RL,4,,2,7,Unf,Pave,12,3.0,Reg,Lvl,GasA,Y,Gtl,Plywood,795.0,0.0,6,2Types,19950,1,1928.0,70,924,2381,275856
479,Y,No,102.0,Norm,TA,Normal,732,Corner,,WD ,0,NAmes,TA,60.0,CompShg,MetalSd,CBlock,1Fam,1952,0.0,,Unf,TA,AllPub,1Story,None,,0,Gd,0,TA,1.0,0,0,BLQ,4,1952,2009,143.0,,68,0,Gable,Typ,Gd,TA,939.0,SBrkr,0,0,Norm,0.0,TA,0,RL,2,,1,7,ALQ,Pave,9,1.0,Reg,Lvl,GasA,Y,Gtl,MetalSd,240.0,694.0,5,Detchd,7200,1,1952.0,20,252,1776,148146
480,Y,No,339.0,Norm,TA,Normal,1175,Corner,,WD ,1,NAmes,Ex,81.0,CompShg,BrkFace,CBlock,1Fam,1960,0.0,,RFn,TA,AllPub,1Story,None,,0,TA,0,TA,0.0,0,0,LwQ,6,1960,2010,391.0,,0,0,Gable,Typ,TA,TA,1382.0,SBrkr,0,0,Norm,0.0,TA,0,RL,3,,1,6,Rec,Pave,6,2.0,IR1,Lvl,GasA,Y,Gtl,Wd Sdng,484.0,652.0,5,Detchd,7635,1,1960.0,20,252,2219,180156
481,Y,No,668.0,Norm,Fa,Normal,1064,Inside,,WD ,0,NAmes,TA,60.0,CompShg,WdShing,CBlock,1Fam,1952,0.0,,Unf,TA,AllPub,1Story,None,,0,TA,0,TA,0.0,0,0,Unf,4,1952,2010,0.0,,0,0,Gable,Typ,TA,TA,1071.0,SBrkr,0,0,Norm,1.0,TA,0,RL,2,,1,7,BLQ,Pave,5,1.0,Reg,Lvl,GasA,Y,Gtl,Wd Shng,318.0,403.0,5,Detchd,10950,1,1952.0,20,252,2108,165856
482,Y,No,250.0,Norm,Gd,Normal,1764,Inside,MnPrv,WD ,1,CollgCr,Ex,65.0,CompShg,VinylSd,PConc,1Fam,1997,0.0,,RFn,TA,AllPub,2Story,None,,0,TA,0,Gd,1.0,0,0,Unf,7,1997,2009,0.0,,99,0,Gable,Typ,TA,TA,1135.0,SBrkr,0,0,Norm,0.0,TA,276,RL,3,,2,5,GLQ,Pave,8,2.0,IR1,Lvl,GasA,Y,Gtl,VinylSd,470.0,885.0,6,Attchd,15426,1,1997.0,60,1088,1972,272006
483,Y,No,309.0,Norm,TA,Normal,1274,Inside,GdWo,WD ,1,Mitchel,Gd,63.0,CompShg,HdBoard,PConc,1Fam,1991,0.0,,Unf,TA,AllPub,2Story,None,,0,TA,0,Gd,0.0,0,0,Unf,6,1991,2010,0.0,,0,0,Gable,Typ,TA,TA,831.0,SBrkr,0,0,Norm,0.0,TA,22,RL,3,,1,5,Rec,Pave,3,2.0,Reg,Lvl,GasA,Y,Gtl,HdBoard,576.0,522.0,5,Detchd,10475,1,1993.0,60,902,1668,166956
484,Y,No,481.0,Norm,TA,Normal,1204,FR2,,WD ,0,Mitchel,Ex,32.0,CompShg,VinylSd,PConc,TwnhsE,1998,320.0,,Fin,TA,AllPub,1Story,BrkFace,,0,TA,0,Ex,1.0,0,0,Unf,5,1998,2009,0.0,,247,0,Hip,Typ,TA,TA,1411.0,SBrkr,0,0,Norm,0.0,TA,0,RM,2,,2,5,GLQ,Pave,6,2.0,Reg,Lvl,GasA,Y,Gtl,VinylSd,412.0,930.0,6,Attchd,4500,1,1998.0,120,252,2248,195556
